Date	Close	percent_change
2022-03-16 16:00:00	75.55	0
2022-03-17 16:00:00	81.94	8.46
2022-03-18 16:00:00	82.18	0.29
2022-03-21 16:00:00	85.07	3.52
2022-03-22 16:00:00	86.24	1.38
2022-03-23 16:00:00	84.76	-1.72
2022-03-24 16:00:00	85.45	0.81
2022-03-25 16:00:00	83.84	-1.88
2022-03-28 16:00:00	80.8	-3.63
2022-03-29 16:00:00	81.35	0.68
2022-03-30 16:00:00	81.29	-0.07
2022-03-31 16:00:00	83.19	2.34
2022-04-01 16:00:00	82.11	-1.30
2022-04-04 16:00:00	81.88	-0.28
2022-04-05 16:00:00	81.61	-0.33
2022-04-06 16:00:00	82.73	1.37
2022-04-07 16:00:00	88.79	7.33
2022-04-08 16:00:00	90.82	2.29
2022-04-11 16:00:00	89.4	-1.56
2022-04-12 16:00:00	89.81	0.46
2022-04-13 16:00:00	93.82	4.46
2022-04-14 16:00:00	92.88	-1.00
2022-04-18 16:00:00	88.84	-4.35
2022-04-19 16:00:00	88.04	-0.90
2022-04-20 16:00:00	91.23	3.62
2022-04-21 16:00:00	82.93	-9.10
2022-04-22 16:00:00	78.59	-5.23
2022-04-25 16:00:00	76.01	-3.28
2022-04-26 16:00:00	74.5	-1.99
2022-04-27 16:00:00	75.34	1.13
2022-04-28 16:00:00	75.49	0.20
2022-04-29 16:00:00	73.14	-3.11
2022-05-02 16:00:00	71.66	-2.02
2022-05-03 16:00:00	73.46	2.51
2022-05-04 16:00:00	75.46	2.72
2022-05-05 16:00:00	70.52	-6.55
2022-05-06 16:00:00	69.52	-1.42
2022-05-09 16:00:00	63.21	-9.08
2022-05-10 16:00:00	63.09	-0.19
2022-05-11 16:00:00	60.66	-3.85
2022-05-12 16:00:00	57.83	-4.67
2022-05-13 16:00:00	62.89	8.75
2022-05-16 16:00:00	63.5	0.97
2022-05-17 16:00:00	66.32	4.44
2022-05-18 16:00:00	62.57	-5.65
2022-05-19 16:00:00	63.74	1.87
2022-05-20 16:00:00	64.06	0.50
2022-05-23 16:00:00	66.07	3.14
2022-05-24 16:00:00	64.06	-3.04
2022-05-25 16:00:00	64.64	0.91
2022-05-26 16:00:00	66.56	2.97
2022-05-27 16:00:00	67.95	2.09
2022-05-31 16:00:00	67.93	-0.03
2022-06-01 16:00:00	66.19	-2.56
2022-06-02 16:00:00	70.49	6.50
2022-06-03 16:00:00	68.81	-2.38
2022-06-06 16:00:00	69.22	0.60
2022-06-07 16:00:00	74.07	7.01
2022-06-08 16:00:00	73.77	-0.41
2022-06-09 16:00:00	69.93	-5.21
2022-06-10 16:00:00	68.38	-2.22
2022-06-13 16:00:00	62.33	-8.85
2022-06-14 16:00:00	59.08	-5.21
2022-06-15 16:00:00	60.61	2.59
2022-06-16 16:00:00	57.81	-4.62
2022-06-17 16:00:00	57.85	0.07
2022-06-21 16:00:00	59.76	3.30
2022-06-22 16:00:00	56.92	-4.75
2022-06-23 16:00:00	56.03	-1.56
2022-06-24 16:00:00	60.26	7.55
2022-06-27 16:00:00	61.7	2.39
2022-06-28 16:00:00	60.01	-2.74
2022-06-29 16:00:00	57.86	-3.58
2022-06-30 16:00:00	57.14	-1.24
2022-07-01 16:00:00	58.69	2.71
